id,cipher_name,cipher_security
49410,TLS_GOSTR341112_256_WITH_28147_CNT_IMIT,insecure
49411,TLS_GOSTR341112_256_WITH_KUZNYECHIK_MGM_L,insecure
49412,TLS_GOSTR341112_256_WITH_MAGMA_MGM_L,insecure
49413,TLS_GOSTR341112_256_WITH_KUZNYECHIK_MGM_S,insecure
49414,TLS_GOSTR341112_256_WITH_MAGMA_MGM_S,insecure
52392,TLS_ECDHE_RSA_WITH_CHACHA20_POLY1305_SHA256,recommended
52393,TLS_ECDHE_ECDSA_WITH_CHACHA20_POLY1305_SHA256,recommended
52394,TLS_DHE_RSA_WITH_CHACHA20_POLY1305_SHA256,degraded
52395,TLS_PSK_WITH_CHACHA20_POLY1305_SHA256,insecure
52396,TLS_ECDHE_PSK_WITH_CHACHA20_POLY1305_SHA256,insecure
52397,TLS_DHE_PSK_WITH_CHACHA20_POLY1305_SHA256,degraded
52398,TLS_RSA_PSK_WITH_CHACHA20_POLY1305_SHA256,insecure
53249,TLS_ECDHE_PSK_WITH_AES_128_GCM_SHA256,degraded
53250,TLS_ECDHE_PSK_WITH_AES_256_GCM_SHA384,degraded
53251,TLS_ECDHE_PSK_WITH_AES_128_CCM_8_SHA256,insecure
53253,TLS_ECDHE_PSK_WITH_AES_128_CCM_SHA256,degraded
